bikepoint_id,bikepoint_name,place_type,lat,lon,postcode,lsoa,lsoa_code,msoa,msoa_code,ward,ward_code,local_authority,local_authority_code
BikePoints_310,"Black Prince Road, Vauxhall",BikePoint,51.490867,-0.116911,SE11 6JH,Lambeth 003B,E01003105,Lambeth 003,E02000620,Prince's,E05000427,Lambeth,E09000022
BikePoints_311,"Foley Street, Fitzrovia",BikePoint,51.519181,-0.140485,W1W 7TJ,Westminster 013D,E01004765,Westminster 013,E02000972,West End,E05000649,Westminster,E09000033
BikePoints_312,"Grove End Road, St. John's Wood",BikePoint,51.530889,-0.17677,NW8 9BN,Westminster 003A,E01004651,Westminster 003,E02000962,Abbey Road,E05000630,Westminster,E09000033
BikePoints_313,"Wells Street, Fitzrovia",BikePoint,51.517344,-0.138072,W1T 3QB,Westminster 013D,E01004765,Westminster 013,E02000972,West End,E05000649,Westminster,E09000033
BikePoints_314,"Tyers Gate, Bermondsey",BikePoint,51.500889,-0.083159,SE1 3JG,Southwark 003I,E01032646,Southwark 003,E02000809,London Bridge & West Bermondsey,E05011104,Southwark,E09000028
BikePoints_315,"The Tennis Courts, The Regent's Park",BikePoint,51.525367,-0.153463,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BikePoints_316,"Warwick Row, Westminster",BikePoint,51.497998,-0.14296,SW1E 5BY,Westminster 020A,E01004731,Westminster 020,E02000979,St James's,E05000644,Westminster,E09000033
BikePoints_317,"Dickens Square, Borough",BikePoint,51.496791,-0.093913,SE1 6AD,Southwark 009C,E01003943,Southwark 009,E02000815,Chaucer,E05011098,Southwark,E09000028
BikePoints_318,"Sackville Street, Mayfair",BikePoint,51.510048,-0.138846,W1S 3DU,Westminster 013E,E01033595,Westminster 013,E02000972,West End,E05000649,Westminster,E09000033
BikePoints_319,"Baldwin Street, St. Luke's",BikePoint,51.527025,-0.088542,EC1V 2NL,Islington 023A,E01002701,Islington 023,E02000576,Bunhill,E05000367,Islington,E09000019
BikePoints_320,"Queen Mother Sports Centre, Victoria",BikePoint,51.493573,-0.139956,SW1V 1TB,Westminster 020D,E01004744,Westminster 020,E02000979,Vincent Square,E05000646,Westminster,E09000033
BikePoints_321,"Bermondsey Street, Bermondsey",BikePoint,51.497855,-0.081608,SE1 3UL,Southwark 006C,E01003941,Southwark 006,E02000812,Chaucer,E05011098,Southwark,E09000028
BikePoints_322,"Palissy Street, Shoreditch",BikePoint,51.526293,-0.073955,E2 7LA,Tower Hamlets 006C,E01004315,Tower Hamlets 006,E02000869,Weavers,E05009335,Tower Hamlets,E09000030
BikePoints_323,"Clifton Street, Shoreditch",BikePoint,51.523196,-0.083067,EC2A 4LG,Hackney 027G,E01033708,Hackney 027,E02000371,Hoxton East & Shoreditch,E05009377,Hackney,E09000012
BikePoints_324,"Ontario Street, Elephant & Castle",BikePoint,51.49652,-0.101384,SE1 6LN,Southwark 034B,E01003932,Southwark 034,E02006802,St George's,E05011114,Southwark,E09000028
BikePoints_325,"St. Martin's Street, West End",BikePoint,51.509087,-0.129697,WC2H 7HF,Westminster 018A,E01004734,Westminster 018,E02000977,St James's,E05000644,Westminster,E09000033
BikePoints_326,"Graham Street, Angel",BikePoint,51.532661,-0.099981,N1 8LB,Islington 020D,E01002802,Islington 020,E02000573,St Peter's,E05000380,Islington,E09000019
BikePoints_327,"New North Road 1, Hoxton",BikePoint,51.53095,-0.085603,N1 6JE,Hackney 027H,E01033709,Hackney 027,E02000371,Hoxton West,E05009378,Hackney,E09000012
BikePoints_328,"New North Road 2, Hoxton",BikePoint,51.53114,-0.086016,N1 6TL,Hackney 027H,E01033709,Hackney 027,E02000371,Hoxton West,E05009378,Hackney,E09000012
BikePoints_329,"Prince Albert Road, The Regent's Park",BikePoint,51.535892,-0.160854,NW8 7LX,Westminster 001D,E01004730,Westminster 001,E02000960,Regent's Park,E05000643,Westminster,E09000033
BikePoints_330,"Eastbourne Mews, Paddington",BikePoint,51.516417,-0.179135,W2 6LQ,Westminster 016A,E01004681,Westminster 016,E02000975,Hyde Park,E05000636,Westminster,E09000033
BikePoints_331,"Bunhill Row, Moorgate",BikePoint,51.520858,-0.089887,EC1Y 4TY,Islington 023D,E01002704,Islington 023,E02000576,Bunhill,E05000367,Islington,E09000019
BikePoints_332,"Nevern Place, Earl's Court",BikePoint,51.493343,-0.194757,SW5 9RH,Kensington and Chelsea 015D,E01002851,Kensington and Chelsea 015,E02000591,Earl's Court,E05009395,Kensington and Chelsea,E09000020
BikePoints_333,"Palace Gardens Terrace, Notting Hill",BikePoint,51.508605,-0.193764,W8 4DY,Kensington and Chelsea 008D,E01002827,Kensington and Chelsea 008,E02000584,Campden,E05009390,Kensington and Chelsea,E09000020
BikePoints_334,"Concert Hall Approach 1, South Bank",BikePoint,51.505044,-0.115851,SE1 7DY,Lambeth 036E,E01032582,Lambeth 036,E02006801,Bishop's,E05000416,Lambeth,E09000022
BikePoints_335,"Tavistock Street, Covent Garden",BikePoint,51.511968,-0.120718,WC2E 7DT,Westminster 018B,E01004735,Westminster 018,E02000977,St James's,E05000644,Westminster,E09000033
BikePoints_614,"London Fields, Hackney Central",BikePoint,51.54119,-0.058826,E8 3PG,Hackney 023F,E01033704,Hackney 023,E02000367,London Fields,E05009381,Hackney,E09000012
BikePoints_615,"Finlay Street, Fulham",BikePoint,51.476885,-0.215895,SW6 6TQ,Hammersmith and Fulham 022A,E01001904,Hammersmith and Fulham 022,E02000393,Munster,E05000257,Hammersmith and Fulham,E09000013
BikePoints_616,"Aintree Street, Fulham",BikePoint,51.481021,-0.209973,SW6 7QY,Hammersmith and Fulham 019D,E01001903,Hammersmith and Fulham 019,E02000390,Munster,E05000257,Hammersmith and Fulham,E09000013
BikePoints_617,"Elysium Place, Fulham",BikePoint,51.471079,-0.207842,SW6 4ND,Hammersmith and Fulham 024D,E01001952,Hammersmith and Fulham 024,E02000395,Town,E05000264,Hammersmith and Fulham,E09000013
BikePoints_618,"Eel Brook Common, Walham Green",BikePoint,51.476259,-0.193254,SW6 4SG,Hammersmith and Fulham 020E,E01001924,Hammersmith and Fulham 020,E02000391,Parsons Green and Walham,E05000260,Hammersmith and Fulham,E09000013
BikePoints_619,"Irene Road, Parsons Green",BikePoint,51.473763,-0.19701,SW6 4BT,Hammersmith and Fulham 020C,E01001922,Hammersmith and Fulham 020,E02000391,Parsons Green and Walham,E05000260,Hammersmith and Fulham,E09000013
BikePoints_620,"Surrey Lane, Battersea",BikePoint,51.47518,-0.16716,SW11 3AS,Wandsworth 003C,E01004577,Wandsworth 003,E02000925,St Mary's Park,E05000622,Wandsworth,E09000032
BikePoints_621,"Wandsworth Town Station, Wandsworth",BikePoint,51.460864,-0.187427,SW18 1AJ,Wandsworth 012C,E01004514,Wandsworth 012,E02000934,Fairfield,E05000614,Wandsworth,E09000032
BikePoints_622,"Lansdowne Road, Ladbroke Grove",BikePoint,51.507481,-0.205535,W11 3QZ,Kensington and Chelsea 007B,E01002871,Kensington and Chelsea 007,E02000583,Norland,E05009398,Kensington and Chelsea,E09000020
BikePoints_623,"Nantes Close, Wandsworth",BikePoint,51.46193,-0.180791,SW11 2RY,Wandsworth 012D,E01004515,Wandsworth 012,E02000934,Fairfield,E05000614,Wandsworth,E09000032
BikePoints_624,"Courland Grove, Wandsworth Road",BikePoint,51.472918,-0.132102,SW8 2RN,Lambeth 008A,E01003089,Lambeth 008,E02000625,Larkhall,E05000425,Lambeth,E09000022
BikePoints_625,"Queen's Circus, Battersea Park",BikePoint,51.477619,-0.149551,SW11 4BU,Wandsworth 001B,E01004566,Wandsworth 001,E02000923,Queenstown,E05000620,Wandsworth,E09000032
BikePoints_626,"Normand Park, West Kensington",BikePoint,51.484386,-0.204815,SW6 7RY,Hammersmith and Fulham 015A,E01001885,Hammersmith and Fulham 015,E02000386,Fulham Broadway,E05000254,Hammersmith and Fulham,E09000013
BikePoints_627,"Holden Street, Battersea",BikePoint,51.46879,-0.15823,SW11 5UF,Wandsworth 005D,E01004592,Wandsworth 005,E02000927,Shaftesbury,E05000623,Wandsworth,E09000032
BikePoints_628,"William Morris Way, Sands End",BikePoint,51.468819,-0.184318,SW6 2UX,Hammersmith and Fulham 023F,E01032790,Hammersmith and Fulham 023,E02000394,Sands End,E05000262,Hammersmith and Fulham,E09000013
BikePoints_629,"Morie Street, Wandsworth",BikePoint,51.459953,-0.190184,SW18 1SR,Wandsworth 010A,E01004509,Wandsworth 010,E02000932,Fairfield,E05000614,Wandsworth,E09000032
BikePoints_630,"Clarence Walk, Stockwell",BikePoint,51.470732,-0.126994,SW4 6QX,Lambeth 008E,E01003128,Lambeth 008,E02000625,Stockwell,E05000429,Lambeth,E09000022
BikePoints_631,"Battersea Park Road, Nine Elms",BikePoint,51.479501,-0.14177,SW8 4DU,Wandsworth 002H,E01033132,Wandsworth 002,E02000924,Queenstown,E05000620,Wandsworth,E09000032
BikePoints_632,"Sheepcote Lane, Battersea",BikePoint,51.470538,-0.163041,SW11 5BW,Wandsworth 003B,E01004540,Wandsworth 003,E02000925,Latchmere,E05000617,Wandsworth,E09000032
BikePoints_633,"Vereker Road, West Kensington",BikePoint,51.489591,-0.209378,W14 9DY,Hammersmith and Fulham 014D,E01001914,Hammersmith and Fulham 014,E02000385,North End,E05000258,Hammersmith and Fulham,E09000013
BikePoints_634,"Brook Green South, Brook Green",BikePoint,51.494347,-0.215804,W6 7EF,Hammersmith and Fulham 010D,E01001869,Hammersmith and Fulham 010,E02000381,Avonmore and Brook Green,E05000252,Hammersmith and Fulham,E09000013
BikePoints_635,"Greyhound Road, Hammersmith",BikePoint,51.486062,-0.214428,W6 8NT,Hammersmith and Fulham 016C,E01001890,Hammersmith and Fulham 016,E02000387,Fulham Reach,E05000255,Hammersmith and Fulham,E09000013
BikePoints_636,"South Park, Sands End",BikePoint,51.467064,-0.193502,SW6 3HH,Hammersmith and Fulham 025B,E01001934,Hammersmith and Fulham 025,E02000396,Sands End,E05000262,Hammersmith and Fulham,E09000013
BikePoints_637,"Spencer Park, Wandsworth Common",BikePoint,51.45787,-0.174691,SW18 2TB,Wandsworth 019D,E01004621,Wandsworth 019,E02000941,Wandsworth Common,E05000627,Wandsworth,E09000032
BikePoints_638,"Falcon Road, Clapham Junction",BikePoint,51.466633,-0.169821,SW11 2PE,Wandsworth 008B,E01004536,Wandsworth 008,E02000930,Latchmere,E05000617,Wandsworth,E09000032
BikePoints_639,"Coomer Place, West Kensington",BikePoint,51.48357,-0.202038,SW6 7EY,Hammersmith and Fulham 017B,E01001881,Hammersmith and Fulham 017,E02000388,Fulham Broadway,E05000254,Hammersmith and Fulham,E09000013
BikePoints_640,"Silverthorne Road, Battersea",BikePoint,51.472865,-0.148059,SW8 3HL,Wandsworth 002D,E01004564,Wandsworth 002,E02000924,Queenstown,E05000620,Wandsworth,E09000032
BikePoints_641,"Archbishop's Park, Waterloo",BikePoint,51.498241,-0.117495,SE1 7LG,Lambeth 036A,E01003013,Lambeth 036,E02006801,Bishop's,E05000416,Lambeth,E09000022
